problem,n,init_id,direction,linesearch,iterations,nfev,ngev,cpu_time_sec,success,reason,maxIter,tol,gradTol,alphamax,rho,sigma,delta,hz_mu,hz_c,hz_ita
"IKK1",5,1,"sd","qwolfe",121,248,181,0.151,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,2,"sd","qwolfe",122,250,183,0.152,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,3,"sd","qwolfe",123,252,184,0.153,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,4,"sd","qwolfe",124,254,186,0.154,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,5,"sd","qwolfe",125,256,187,0.155,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,6,"sd","qwolfe",126,258,189,0.156,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,7,"sd","qwolfe",127,260,190,0.157,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,8,"sd","qwolfe",128,262,192,0.158,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,9,"sd","qwolfe",129,264,193,0.159,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,10,"sd","qwolfe",120,245,180,0.15,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,11,"sd","qwolfe",121,248,181,0.151,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,12,"sd","qwolfe",122,250,183,0.152,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,13,"sd","qwolfe",123,252,184,0.153,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,14,"sd","qwolfe",124,254,186,0.154,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,15,"sd","qwolfe",125,256,187,0.155,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,16,"sd","qwolfe",126,258,189,0.156,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,17,"sd","qwolfe",127,260,190,0.157,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,18,"sd","qwolfe",128,262,192,0.158,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,19,"sd","qwolfe",129,264,193,0.159,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,20,"sd","qwolfe",120,245,180,0.15,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,1,"prp","qwolfe",141,310,225,0.181,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,2,"prp","qwolfe",142,312,227,0.182,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,3,"prp","qwolfe",143,314,228,0.183,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,4,"prp","qwolfe",144,316,230,0.184,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,5,"prp","qwolfe",145,319,232,0.185,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,6,"prp","qwolfe",146,321,233,0.186,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,7,"prp","qwolfe",147,323,235,0.187,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,8,"prp","qwolfe",148,325,236,0.188,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,9,"prp","qwolfe",149,327,238,0.189,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,10,"prp","qwolfe",140,308,224,0.18,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,11,"prp","qwolfe",141,310,225,0.181,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,12,"prp","qwolfe",142,312,227,0.182,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,13,"prp","qwolfe",143,314,228,0.183,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,14,"prp","qwolfe",144,316,230,0.184,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,15,"prp","qwolfe",145,319,232,0.185,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,16,"prp","qwolfe",146,321,233,0.186,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,17,"prp","qwolfe",147,323,235,0.187,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,18,"prp","qwolfe",148,325,236,0.188,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,19,"prp","qwolfe",149,327,238,0.189,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,20,"prp","qwolfe",140,308,224,0.18,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,1,"sd","dwolfe1",161,378,273,0.211,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,2,"sd","dwolfe1",162,380,275,0.212,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,3,"sd","dwolfe1",163,383,277,0.213,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,4,"sd","dwolfe1",164,385,278,0.214,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,5,"sd","dwolfe1",165,387,280,0.215,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,6,"sd","dwolfe1",166,390,282,0.216,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,7,"sd","dwolfe1",167,392,283,0.217,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,8,"sd","dwolfe1",168,394,285,0.218,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,9,"sd","dwolfe1",169,397,287,0.219,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,10,"sd","dwolfe1",160,376,272,0.21,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,11,"sd","dwolfe1",161,378,273,0.211,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,12,"sd","dwolfe1",162,380,275,0.212,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,13,"sd","dwolfe1",163,383,277,0.213,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,14,"sd","dwolfe1",164,385,278,0.214,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,15,"sd","dwolfe1",165,387,280,0.215,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,16,"sd","dwolfe1",166,390,282,0.216,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,17,"sd","dwolfe1",167,392,283,0.217,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,18,"sd","dwolfe1",168,394,285,0.218,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,19,"sd","dwolfe1",169,397,287,0.219,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,20,"sd","dwolfe1",,,,,0,"no_progress",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,1,"hz","dwolfe1",61,106,79,0.132,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,2,"hz","dwolfe1",62,108,80,0.134,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,3,"hz","dwolfe1",63,110,81,0.136,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,4,"hz","dwolfe1",64,112,83,0.138,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,5,"hz","dwolfe1",65,113,84,0.14,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,6,"hz","dwolfe1",66,115,85,0.142,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,7,"hz","dwolfe1",67,117,87,0.144,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,8,"hz","dwolfe1",68,119,88,0.146,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,9,"hz","dwolfe1",69,120,89,0.148,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,10,"hz","dwolfe1",60,105,78,0.13,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,11,"hz","dwolfe1",61,106,79,0.132,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,12,"hz","dwolfe1",62,108,80,0.134,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,13,"hz","dwolfe1",63,110,81,0.136,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,14,"hz","dwolfe1",64,112,83,0.138,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,15,"hz","dwolfe1",65,113,84,0.14,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,16,"hz","dwolfe1",66,115,85,0.142,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,17,"hz","dwolfe1",67,117,87,0.144,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,18,"hz","dwolfe1",68,119,88,0.146,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,19,"hz","dwolfe1",69,120,89,0.148,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,20,"hz","dwolfe1",60,105,78,0.13,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,1,"hz","dwolfe2",81,153,113,0.182,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,2,"hz","dwolfe2",82,155,114,0.184,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,3,"hz","dwolfe2",83,157,116,0.186,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,4,"hz","dwolfe2",84,159,117,0.188,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,5,"hz","dwolfe2",85,161,118,0.19,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,6,"hz","dwolfe2",86,163,120,0.192,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,7,"hz","dwolfe2",87,165,121,0.194,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,8,"hz","dwolfe2",88,167,123,0.196,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,9,"hz","dwolfe2",89,169,124,0.198,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,10,"hz","dwolfe2",80,152,112,0.18,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,11,"hz","dwolfe2",81,153,113,0.182,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,12,"hz","dwolfe2",82,155,114,0.184,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,13,"hz","dwolfe2",83,157,116,0.186,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,14,"hz","dwolfe2",84,159,117,0.188,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,15,"hz","dwolfe2",85,161,118,0.19,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,16,"hz","dwolfe2",86,163,120,0.192,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,17,"hz","dwolfe2",87,165,121,0.194,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,18,"hz","dwolfe2",88,167,123,0.196,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,19,"hz","dwolfe2",89,169,124,0.198,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,20,"hz","dwolfe2",80,152,112,0.18,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,1,"sd","qwolfe",131,268,196,0.292,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,2,"sd","qwolfe",132,270,198,0.294,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,3,"sd","qwolfe",133,272,199,0.296,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,4,"sd","qwolfe",134,274,201,0.298,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,5,"sd","qwolfe",135,276,202,0.3,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,6,"sd","qwolfe",136,278,204,0.302,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,7,"sd","qwolfe",137,280,205,0.304,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,8,"sd","qwolfe",138,282,207,0.306,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,9,"sd","qwolfe",139,284,208,0.308,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,10,"sd","qwolfe",130,266,195,0.29,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,11,"sd","qwolfe",131,268,196,0.292,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,12,"sd","qwolfe",132,270,198,0.294,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,13,"sd","qwolfe",133,272,199,0.296,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,14,"sd","qwolfe",134,274,201,0.298,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,15,"sd","qwolfe",135,276,202,0.3,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,16,"sd","qwolfe",136,278,204,0.302,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,17,"sd","qwolfe",137,280,205,0.304,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,18,"sd","qwolfe",138,282,207,0.306,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,19,"sd","qwolfe",139,284,208,0.308,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,20,"sd","qwolfe",130,266,195,0.29,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,1,"prp","qwolfe",151,332,241,0.342,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,2,"prp","qwolfe",152,334,243,0.344,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,3,"prp","qwolfe",153,336,244,0.346,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,4,"prp","qwolfe",154,338,246,0.348,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,5,"prp","qwolfe",155,341,248,0.35,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,6,"prp","qwolfe",156,343,249,0.352,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,7,"prp","qwolfe",157,345,251,0.354,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,8,"prp","qwolfe",158,347,252,0.356,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,9,"prp","qwolfe",159,349,254,0.358,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,10,"prp","qwolfe",150,330,240,0.34,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,11,"prp","qwolfe",151,332,241,0.342,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,12,"prp","qwolfe",152,334,243,0.344,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,13,"prp","qwolfe",153,336,244,0.346,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,14,"prp","qwolfe",154,338,246,0.348,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,15,"prp","qwolfe",155,341,248,0.35,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,16,"prp","qwolfe",156,343,249,0.352,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,17,"prp","qwolfe",157,345,251,0.354,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,18,"prp","qwolfe",158,347,252,0.356,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,19,"prp","qwolfe",159,349,254,0.358,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,20,"prp","qwolfe",150,330,240,0.34,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,1,"sd","dwolfe1",171,401,290,0.392,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,2,"sd","dwolfe1",172,404,292,0.394,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,3,"sd","dwolfe1",173,406,294,0.396,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,4,"sd","dwolfe1",174,408,295,0.398,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,5,"sd","dwolfe1",175,411,297,0.4,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,6,"sd","dwolfe1",176,413,299,0.402,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,7,"sd","dwolfe1",177,415,300,0.404,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,8,"sd","dwolfe1",178,418,302,0.406,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",10,9,"sd","dwolfe1",179,420,304,0.408,1,"",1000,1e-08,1e-03,10,1e-04,0.1,1.3,1,0.2,1e-02
